"country","commodity","year","quantity_tonnes","flag_qty","value_usd1000","flag_val"
"Chile","Salmon fillets, frozen",2019,69237.59,"",691875.49,""
"Chile","Salmon fillets, frozen",2020,83322.26,"",689963.73,""
"Chile","Salmon fillets, frozen",2021,90862,"",863985.48,""
"Chile","Salmon fillets, frozen",2022,109650.28,"",1354177.21,""
"Chile","Salmon fillets, frozen",2023,112999.76,"",1313651.68,""
"Chile","Salmon fillets, frozen",2024,124368.83,"",1417909.79,""
"Chile","Salmon minced, prepared or preserved",1976,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1977,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1978,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1979,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1980,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1981,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1982,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1983,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1984,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1985,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1986,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1987,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1988,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1989,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1990,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1991,0,"...",0,"..."
"Chile","Salmon minced, prepared or preserved",1992,164,"",1045,""
"Chile","Salmon minced, prepared or preserved",1993,145,"",772,""
"Chile","Salmon minced, prepared or preserved",1994,292,"",1024,""
"Chile","Salmon minced, prepared or preserved",1995,104,"",510,""
"Chile","Salmon minced, prepared or preserved",1996,38,"",260,""
"Chile","Salmon minced, prepared or preserved",1997,198,"",1109,""
"Chile","Salmon minced, prepared or preserved",1998,148,"",726,""
"Chile","Salmon minced, prepared or preserved",1999,90,"",386,""
"Chile","Salmon minced, prepared or preserved",2000,75,"",524,""
"Chile","Salmon minced, prepared or preserved",2001,229,"",1468,""
"Chile","Salmon minced, prepared or preserved",2002,100,"",530,""
"Chile","Salmon minced, prepared or preserved",2003,101,"",387,""
"Chile","Salmon minced, prepared or preserved",2004,99,"",769,""
"Chile","Salmon minced, prepared or preserved",2005,361,"",2808,""
"Chile","Salmon minced, prepared or preserved",2006,308,"",2596,""
"Chile","Salmon minced, prepared or preserved",2007,794,"",7024,""
"Chile","Salmon minced, prepared or preserved",2008,617,"",5495,""
"Chile","Salmon minced, prepared or preserved",2009,332,"",2538,""
"Chile","Salmon minced, prepared or preserved",2010,361,"",3925,""
"Chile","Salmon minced, prepared or preserved",2011,28,"",286,""
"Chile","Salmon minced, prepared or preserved",2012,4,"",32,""
"Chile","Salmon minced, prepared or preserved",2013,2,"",25,""
"Chile","Salmon minced, prepared or preserved",2014,3,"",59,""
"Chile","Salmon minced, prepared or preserved",2015,20,"",219,""
"Chile","Salmon minced, prepared or preserved",2016,6,"",131,""
"Chile","Salmon minced, prepared or preserved",2017,12,"",185,""
"Chile","Salmon minced, prepared or preserved",2018,9,"",164,""
"Chile","Salmon minced, prepared or preserved",2019,102.19,"",810.53,""
"Chile","Salmon minced, prepared or preserved",2020,254.46,"",2065.62,""
"Chile","Salmon minced, prepared or preserved",2021,171.39,"",1435.53,""
"Chile","Salmon minced, prepared or preserved",2022,284.26,"",3396.62,""
"Chile","Salmon minced, prepared or preserved",2023,126.78,"",1244.68,""
"Chile","Salmon minced, prepared or preserved",2024,71.95,"",761.74,""
"Chile","Salmon nei, not minced, prepared or preserved",1976,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1977,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1978,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1979,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1980,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1981,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1982,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1983,0,"...",0,"..."
"Chile","Salmon nei, not minced, prepared or preserved",1984,9,"",8,""
"Chile","Salmon nei, not minced, prepared or preserved",1985,19,"",18,""
"Chile","Salmon nei, not minced, prepared or preserved",1986,9,"",6,""
"Chile","Salmon nei, not minced, prepared or preserved",1987,0,"N",1,""
"Chile","Salmon nei, not minced, prepared or preserved",1988,4,"",16,""
"Chile","Salmon nei, not minced, prepared or preserved",1989,4,"",34,""
"Chile","Salmon nei, not minced, prepared or preserved",1990,151,"",1103,""
"Chile","Salmon nei, not minced, prepared or preserved",1991,140,"",1024,""
"Chile","Salmon nei, not minced, prepared or preserved",1992,122,"",916,""
"Chile","Salmon nei, not minced, prepared or preserved",1993,182,"",1185,""
"Chile","Salmon nei, not minced, prepared or preserved",1994,380,"",2213,""
"Chile","Salmon nei, not minced, prepared or preserved",1995,450,"",2587,""
"Chile","Salmon nei, not minced, prepared or preserved",1996,450,"",2621,""
"Chile","Salmon nei, not minced, prepared or preserved",1997,243,"",1152,""
"Chile","Salmon nei, not minced, prepared or preserved",1998,662,"",4588,""
"Chile","Salmon nei, not minced, prepared or preserved",1999,705,"",4891,""
"Chile","Salmon nei, not minced, prepared or preserved",2000,724,"",4789,""
"Chile","Salmon nei, not minced, prepared or preserved",2001,1577,"",6325,""
"Chile","Salmon nei, not minced, prepared or preserved",2002,1456,"",5877,""
"Chile","Salmon nei, not minced, prepared or preserved",2003,3704,"",20585,""
"Chile","Salmon nei, not minced, prepared or preserved",2004,4563,"",26050,""
"Chile","Salmon nei, not minced, prepared or preserved",2005,4653,"",27133,""
"Chile","Salmon nei, not minced, prepared or preserved",2006,4680,"",31119,""
"Chile","Salmon nei, not minced, prepared or preserved",2007,3476,"",23279,""
"Chile","Salmon nei, not minced, prepared or preserved",2008,4974,"",35796,""
"Chile","Salmon nei, not minced, prepared or preserved",2009,4507,"",36622,""
"Chile","Salmon nei, not minced, prepared or preserved",2010,1222,"",10676,""
"Chile","Salmon nei, not minced, prepared or preserved",2011,1044,"",13405,""
"Chile","Salmon nei, not minced, prepared or preserved",2012,1443,"",14932,""
"Chile","Salmon nei, not minced, prepared or preserved",2013,1738,"",16794,""
"Chile","Salmon nei, not minced, prepared or preserved",2014,1042,"",11097,""
"Chile","Salmon nei, not minced, prepared or preserved",2015,685,"",6601,""
"Chile","Salmon nei, not minced, prepared or preserved",2016,565,"",3679,""
"Chile","Salmon nei, not minced, prepared or preserved",2017,407,"",4242,""
"Chile","Salmon nei, not minced, prepared or preserved",2018,1747,"",22401,""
"Chile","Salmon nei, not minced, prepared or preserved",2019,2073.56,"",26801.94,""
"Chile","Salmon nei, not minced, prepared or preserved",2020,2769.26,"",34771.95,""
"Chile","Salmon nei, not minced, prepared or preserved",2021,1896.59,"",24871,""
"Chile","Salmon nei, not minced, prepared or preserved",2022,2215.97,"",33977.09,""
"Chile","Salmon nei, not minced, prepared or preserved",2023,1531.12,"",25947.41,""
"Chile","Salmon nei, not minced, prepared or preserved",2024,2239.87,"",37778.07,""
"Chile","Salmon roes, cured",1976,0,"...",0,"..."
"Chile","Salmon roes, cured",1977,0,"...",0,"..."
"Chile","Salmon roes, cured",1978,0,"...",0,"..."
"Chile","Salmon roes, cured",1979,0,"...",0,"..."
"Chile","Salmon roes, cured",1980,0,"...",0,"..."
"Chile","Salmon roes, cured",1981,0,"...",0,"..."
"Chile","Salmon roes, cured",1982,0,"...",0,"..."
"Chile","Salmon roes, cured",1983,0,"...",0,"..."
"Chile","Salmon roes, cured",1984,0,"...",0,"..."
"Chile","Salmon roes, cured",1985,0,"...",0,"..."
"Chile","Salmon roes, cured",1986,0,"...",0,"..."
"Chile","Salmon roes, cured",1987,0,"...",0,"..."
"Chile","Salmon roes, cured",1988,0,"...",0,"..."
"Chile","Salmon roes, cured",1989,0,"...",0,"..."
"Chile","Salmon roes, cured",1990,0,"...",0,"..."
"Chile","Salmon roes, cured",1991,0,"...",0,"..."
"Chile","Salmon roes, cured",1992,0,"...",0,"..."
"Chile","Salmon roes, cured",1993,0,"...",0,"..."
"Chile","Salmon roes, cured",1994,0,"...",0,"..."
"Chile","Salmon roes, cured",1995,0,"...",0,"..."
"Chile","Salmon roes, cured",1996,0,"...",0,"..."
"Chile","Salmon roes, cured",1997,0,"...",0,"..."
"Chile","Salmon roes, cured",1998,0,"...",0,"..."
"Chile","Salmon roes, cured",1999,0,"...",0,"..."
"Chile","Salmon roes, cured",2000,0,"...",0,"..."
"Chile","Salmon roes, cured",2001,0,"...",0,"..."
"Chile","Salmon roes, cured",2002,37,"",168,""
"Chile","Salmon roes, cured",2003,43,"",182,""
"Chile","Salmon roes, cured",2004,9,"",85,""
"Chile","Salmon roes, cured",2005,24,"",234,""
"Chile","Salmon roes, cured",2006,6,"",34,""
"Chile","Salmon roes, cured",2007,0,"...",0,"..."
"Chile","Salmon roes, cured",2008,2,"",100,""
"Chile","Salmon roes, cured",2009,4,"",193,""
"Chile","Salmon roes, cured",2010,15,"",308,""
"Chile","Salmon roes, cured",2011,1,"",23,""
"Chile","Salmon roes, cured",2012,0,"N",7,""
"Chile","Salmon roes, cured",2013,0,"N",0,"N"
"Chile","Salmon roes, cured",2014,2,"",39,""
"Chile","Salmon roes, cured",2015,2,"",55,""
"Chile","Salmon roes, cured",2016,0,"...",0,"..."
"Chile","Salmon roes, cured",2017,0,"...",0,"..."
"Chile","Salmon roes, cured",2018,0,"...",0,"..."
"Chile","Salmon roes, cured",2019,0,"...",0,"..."
"Chile","Salmon roes, cured",2020,0.69,"",2.08,""
"Chile","Salmon roes, cured",2021,0,"...",0,"..."
"Chile","Salmon roes, cured",2022,0,"...",0,"..."
"Chile","Salmon roes, cured",2023,1.46,"",27.73,""
"Chile","Salmon roes, cured",2024,0.76,"",20.32,""
"Chile","Salmon roes, frozen",1976,0,"...",0,"..."
"Chile","Salmon roes, frozen",1977,0,"...",0,"..."
"Chile","Salmon roes, frozen",1978,0,"...",0,"..."
"Chile","Salmon roes, frozen",1979,0,"...",0,"..."
"Chile","Salmon roes, frozen",1980,0,"...",0,"..."
"Chile","Salmon roes, frozen",1981,0,"...",0,"..."
"Chile","Salmon roes, frozen",1982,0,"...",0,"..."
"Chile","Salmon roes, frozen",1983,0,"...",0,"..."
"Chile","Salmon roes, frozen",1984,0,"...",0,"..."
"Chile","Salmon roes, frozen",1985,1,"",2,""
"Chile","Salmon roes, frozen",1986,5,"",17,""
"Chile","Salmon roes, frozen",1987,4,"",22,""
"Chile","Salmon roes, frozen",1988,0,"...",0,"..."
"Chile","Salmon roes, frozen",1989,0,"...",0,"..."
"Chile","Salmon roes, frozen",1990,0,"...",0,"..."
"Chile","Salmon roes, frozen",1991,0,"...",0,"..."
"Chile","Salmon roes, frozen",1992,0,"...",0,"..."
"Chile","Salmon roes, frozen",1993,0,"...",0,"..."
"Chile","Salmon roes, frozen",1994,0,"...",0,"..."
"Chile","Salmon roes, frozen",1995,0,"...",0,"..."
"Chile","Salmon roes, frozen",1996,0,"...",0,"..."
"Chile","Salmon roes, frozen",1997,0,"...",0,"..."
"Chile","Salmon roes, frozen",1998,0,"...",0,"..."
"Chile","Salmon roes, frozen",1999,0,"...",0,"..."
"Chile","Salmon roes, frozen",2000,0,"...",0,"..."
"Chile","Salmon roes, frozen",2001,0,"...",0,"..."
"Chile","Salmon roes, frozen",2002,264,"",1270,""
"Chile","Salmon roes, frozen",2003,105,"",477,""
"Chile","Salmon roes, frozen",2004,77,"",496,""
"Chile","Salmon roes, frozen",2005,90,"",503,""
"Chile","Salmon roes, frozen",2006,199,"",1068,""
"Chile","Salmon roes, frozen",2007,76,"",652,""
"Chile","Salmon roes, frozen",2008,167,"",1319,""
"Chile","Salmon roes, frozen",2009,75,"",519,""
"Chile","Salmon roes, frozen",2010,105,"",797,""
"Chile","Salmon roes, frozen",2011,59,"",802,""
"Chile","Salmon roes, frozen",2012,240,"",2791,""
"Chile","Salmon roes, frozen",2013,151,"",1877,""
"Chile","Salmon roes, frozen",2014,152,"",1804,""
"Chile","Salmon roes, frozen",2015,69,"",510,""
"Chile","Salmon roes, frozen",2016,46,"",184,""
"Chile","Salmon roes, frozen",2017,0,"N",0,"N"
"Chile","Salmon roes, frozen",2018,0,"...",0,"..."
"Chile","Salmon roes, frozen",2019,0,"...",0,"..."
"Chile","Salmon roes, frozen",2020,0,"...",0,"..."
"Chile","Salmon roes, frozen",2021,0,"...",0,"..."
"Chile","Salmon roes, frozen",2022,0,"...",0,"..."
"Chile","Salmon roes, frozen",2023,0,"...",0,"..."
"Chile","Salmon roes, frozen",2024,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1976,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1977,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1978,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1979,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1980,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1981,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1982,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1983,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1984,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1985,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1986,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1987,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1988,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1989,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1990,3,"",21,""
"Chile","Salmon sides, salted or in brine",1991,2,"",13,""
"Chile","Salmon sides, salted or in brine",1992,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1993,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1994,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1995,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1996,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1997,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1998,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",1999,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2000,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2001,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2002,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2003,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2004,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2005,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2006,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2007,13,"",51,""
"Chile","Salmon sides, salted or in brine",2008,153,"",591,""
"Chile","Salmon sides, salted or in brine",2009,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2010,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2011,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2012,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2013,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2014,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2015,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2016,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2017,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2018,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2019,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2020,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2021,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2022,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2023,0,"...",0,"..."
"Chile","Salmon sides, salted or in brine",2024,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1976,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1977,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1978,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1979,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1980,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1981,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1982,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1983,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1984,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1985,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1986,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1987,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1988,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1989,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1990,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1991,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1992,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1993,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1994,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1995,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1996,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1997,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1998,0,"...",0,"..."
"Chile","Salmon steaks, frozen",1999,0,"...",0,"..."
"Chile","Salmon steaks, frozen",2000,0,"...",0,"..."
"Chile","Salmon steaks, frozen",2001,0,"...",0,"..."
"Chile","Salmon steaks, frozen",2002,10263,"",44886,""
"Chile","Salmon steaks, frozen",2003,13319,"",65936,""
"Chile","Salmon steaks, frozen",2004,15943,"",90002,""
"Chile","Salmon steaks, frozen",2005,23373,"",140918,""
"Chile","Salmon steaks, frozen",2006,27698,"",213310,""
"Chile","Salmon steaks, frozen",2007,36056,"",313427,""
"Chile","Salmon steaks, frozen",2008,25949,"",212821,""
"Chile","Salmon steaks, frozen",2009,16346,"",137124,""
"Chile","Salmon steaks, frozen",2010,5708,"",61925,""
"Chile","Salmon steaks, frozen",2011,7495,"",94642,""
"Chile","Salmon steaks, frozen",2012,11672,"",115934,""
"Chile","Salmon steaks, frozen",2013,15564,"",154154,""
"Chile","Salmon steaks, frozen",2014,16797,"",205206,""
"Chile","Salmon steaks, frozen",2015,15734,"",169035,""
"Chile","Salmon steaks, frozen",2016,15707,"",170563,""
"Chile","Salmon steaks, frozen",2017,20753,"",289985,""
"Chile","Salmon steaks, frozen",2018,24082,"",305303,""
"Chile","Salmon steaks, frozen",2019,25889.51,"",329079.2,""
"Chile","Salmon steaks, frozen",2020,26354.06,"",314600.83,""
"Chile","Salmon steaks, frozen",2021,25436.11,"",301089.98,""
"Chile","Salmon steaks, frozen",2022,0,"...",0,"..."
"Chile","Salmon steaks, frozen",2023,0,"...",0,"..."
"Chile","Salmon steaks, frozen",2024,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1976,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1977,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1978,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1979,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1980,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1981,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1982,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1983,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1984,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1985,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1986,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1987,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1988,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1989,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1990,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1991,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1992,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1993,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1994,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1995,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1996,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1997,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1998,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",1999,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2000,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2001,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2002,313,"",976,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2003,177,"",757,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2004,148,"",678,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2005,198,"",928,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2006,937,"",4643,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2007,504,"",2347,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2008,21,"",126,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2009,13,"",201,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2010,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2011,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2012,0,"N",1,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2013,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2014,0,"N",1,""
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2015,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2016,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2017,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2018,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2019,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2020,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2021,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2022,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2023,0,"...",0,"..."
"Chile","Salmonoids fillets, dried, salted or in brine, but not smoked",2024,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1976,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1977,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1978,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1979,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1980,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1981,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1982,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1983,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1984,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1985,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1986,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1987,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1988,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1989,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1990,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1991,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1992,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1993,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1994,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1995,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1996,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1997,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1998,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",1999,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2000,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2001,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2002,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2003,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2004,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2005,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2006,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2007,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2008,26,"",92,""
"Chile","Salmonoids meat, fresh or chilled, nei",2009,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2010,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2011,0,"...",0,"..."
"Chile","Salmonoids meat, fresh or chilled, nei",2012,582,"",5470,""
"Chile","Salmonoids meat, fresh or chilled, nei",2013,1225,"",12717,""
"Chile","Salmonoids meat, fresh or chilled, nei",2014,1159,"",14699,""
"Chile","Salmonoids meat, fresh or chilled, nei",2015,1717,"",18118,""
"Chile","Salmonoids meat, fresh or chilled, nei",2016,1710,"",19544,""
"Chile","Salmonoids meat, fresh or chilled, nei",2017,2830,"",39779,""
"Chile","Salmonoids meat, fresh or chilled, nei",2018,3095,"",39682,""
"Chile","Salmonoids meat, fresh or chilled, nei",2019,2928.86,"",37333.29,""
"Chile","Salmonoids meat, fresh or chilled, nei",2020,2104.26,"",24066.25,""
"Chile","Salmonoids meat, fresh or chilled, nei",2021,3482.95,"",46147.74,""
"Chile","Salmonoids meat, fresh or chilled, nei",2022,4088.44,"",66683.02,""
"Chile","Salmonoids meat, fresh or chilled, nei",2023,3769.57,"",61875.95,""
"Chile","Salmonoids meat, fresh or chilled, nei",2024,3000.41,"",48327.63,""
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1976,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1977,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1978,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1979,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1980,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1981,0,"...",0,"..."
"Chile","Salmonoids nei, dried, whether or not salted, not smoked",1982,0,"...",0,"..."
